,artist,album,track,uri,UniqueID,track_uri
394,Natos y Waor,Cicatrices,Generación perdida,spotify:track:4yGusLC2fJbi1N3hcJNbAP,Natos y Waor:Generación perdida,4yGusLC2fJbi1N3hcJNbAP
395,Current Swell,So I Say,Stomach,spotify:track:7DTQ9htRtzptAisx1TePyq,Current Swell:Stomach,7DTQ9htRtzptAisx1TePyq
396,Alborosie,Soul Pirate,Waan The Herb (feat. Michael Rose),spotify:track:089FgQUZBL0WQPUn3vR8LB,Alborosie:Waan The Herb (feat. Michael Rose),089FgQUZBL0WQPUn3vR8LB
397,The Kooks,Junk Of The Heart,Junk Of The Heart (Happy),spotify:track:2jZgzSxNSg1hTCq0ewWHGJ,The Kooks:Junk Of The Heart (Happy),2jZgzSxNSg1hTCq0ewWHGJ
398,La Pantera,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]",spotify:track:0Bv7O6fmZk3GrNQFYJaXPn,"La Pantera:Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]",0Bv7O6fmZk3GrNQFYJaXPn
399,Pereza,Animales,Princesas,spotify:track:3hlWUNjAlbZ6nOjAbrivBv,Pereza:Princesas,3hlWUNjAlbZ6nOjAbrivBv
400,Bob Marley & The Wailers,Uprising,Could You Be Loved,spotify:track:5O4erNlJ74PIF6kGol1ZrC,Bob Marley & The Wailers:Could You Be Loved,5O4erNlJ74PIF6kGol1ZrC
401,Steve Lacy,Some,Some,spotify:track:4riDfclV7kPDT9D58FpmHd,Steve Lacy:Some,4riDfclV7kPDT9D58FpmHd
402,Pereza,Esencial Pereza,Voy a Comerte,spotify:track:27DFISafcRIl2qhwktCcxq,Pereza:Voy a Comerte,27DFISafcRIl2qhwktCcxq
403,Foo Fighters,One By One (Expanded Edition),All My Life,spotify:track:6tsojOQ5wHaIjKqIryLZK6,Foo Fighters:All My Life,6tsojOQ5wHaIjKqIryLZK6
404,Cruz Cafuné,☉cáncer ↑capricornio ☾virgo,Este Verano,spotify:track:5570VMVvXhONghMCBbzZZE,Cruz Cafuné:Este Verano,5570VMVvXhONghMCBbzZZE
405,Ayax y Prok,Zenit,Zenit,spotify:track:01T6sBu7sH9ptbJcDw43Go,Ayax y Prok:Zenit,01T6sBu7sH9ptbJcDw43Go
406,Marea,Coces al Aire 1997-2007,Corazon de mimbre,spotify:track:6ScI1xf3RszISXvLGmitY3,Marea:Corazon de mimbre,6ScI1xf3RszISXvLGmitY3
407,Kaotiko,Mundo Kaotiko,Otra Noche,spotify:track:2JXn1MQeFqowxtRxgmefuk,Kaotiko:Otra Noche,2JXn1MQeFqowxtRxgmefuk
408,Vetusta Morla,Un Día en el Mundo,Autocrítica,spotify:track:73P7m3XZ4ha7qFOBpuIozd,Vetusta Morla:Autocrítica,73P7m3XZ4ha7qFOBpuIozd
409,La Raíz,Entre Poetas y Presos,Entre Poetas y Presos,spotify:track:7LQLbChhh7aURz53yOTLAr,La Raíz:Entre Poetas y Presos,7LQLbChhh7aURz53yOTLAr
410,Kodak Black,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,Super Gremlin,spotify:track:4A8cWXxKfIL3lAyUDzXbCF,Kodak Black:Super Gremlin,4A8cWXxKfIL3lAyUDzXbCF
411,Imagine Dragons,Night Visions,Radioactive,spotify:track:62yJjFtgkhUrXktIoSjgP2,Imagine Dragons:Radioactive,62yJjFtgkhUrXktIoSjgP2
412,Chicolisto,Gotta Go Get It,Gotta Go Get It,spotify:track:4u4UHvBQhalTiGy9G76OtM,Chicolisto:Gotta Go Get It,4u4UHvBQhalTiGy9G76OtM
413,Fedez,BIMBI PER STRADA (CHILDREN),BIMBI PER STRADA (CHILDREN),spotify:track:6KF78W66DcQ9m5YqR0r5Ig,Fedez:BIMBI PER STRADA (CHILDREN),6KF78W66DcQ9m5YqR0r5Ig
414,Kendrick Lamar,DAMN.,LOVE. FEAT. ZACARI.,spotify:track:6PGoSes0D9eUDeeAafB2As,Kendrick Lamar:LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As
415,fun.,Some Nights,Some Nights,spotify:track:67WTwafOMgegV6ABnBQxcE,fun.:Some Nights,67WTwafOMgegV6ABnBQxcE
416,James Bay,Chaos And The Calm,Get Out While You Can,spotify:track:03KEFXhBYJm1YnHkbK6sFA,James Bay:Get Out While You Can,03KEFXhBYJm1YnHkbK6sFA
417,Rupatrupa,Directo en Sdma,Rara Bien,spotify:track:4lSs7nqYqxXjWiiNehh3Ji,Rupatrupa:Rara Bien,4lSs7nqYqxXjWiiNehh3Ji
418,Fedez,DISUMANO,SAPORE – with Tedua,spotify:track:3QdtpN3K8s2aDsX6o10KZK,Fedez:SAPORE – with Tedua,3QdtpN3K8s2aDsX6o10KZK
419,Recycled J,Bambino,Bambino,spotify:track:0k4RVdTt7e9nfUUh4CWva7,Recycled J:Bambino,0k4RVdTt7e9nfUUh4CWva7
420,Avicii,Stories,Waiting For Love,spotify:track:6nsLzJfvp5OLd4mgqUJkpq,Avicii:Waiting For Love,6nsLzJfvp5OLd4mgqUJkpq
421,Benito Kamelas,El Rincón de Mi Cabeza,Para Siempre,spotify:track:7D5rcxwCBQI0LYE5fsS4wD,Benito Kamelas:Para Siempre,7D5rcxwCBQI0LYE5fsS4wD
422,Macklemore & Ryan Lewis,The Heist,White Walls (feat. ScHoolboy Q & Hollis),spotify:track:6I3KeXBT0E9MoMqYz8srVq,Macklemore & Ryan Lewis:White Walls (feat. ScHoolboy Q & Hollis),6I3KeXBT0E9MoMqYz8srVq
423,The Foundations,The Foundations,Build Me Up Buttercup,spotify:track:6sPOmDulFtLzfX25zICNrC,The Foundations:Build Me Up Buttercup,6sPOmDulFtLzfX25zICNrC
424,TribuTrip,Solsticio de Invierno,Solsticio de Invierno,spotify:track:2W2NpGW58cqI1n8rNEEamO,TribuTrip:Solsticio de Invierno,2W2NpGW58cqI1n8rNEEamO
425,Fyahbwoy,Extremely Flammable,Porción de Amor (Full Version),spotify:track:6NupiBTZRm234KH7qg6kUY,Fyahbwoy:Porción de Amor (Full Version),6NupiBTZRm234KH7qg6kUY
426,Ultimo,Pianeti,Pianeti,spotify:track:2w5wtWq30yTkNSG9YjMFvW,Ultimo:Pianeti,2w5wtWq30yTkNSG9YjMFvW
427,Funzo & Baby Loud,JOVEN PARA SIEMPRE,JOVEN PARA SIEMPRE,spotify:track:2hSBhzE4hbWRWl4PLMiJsu,Funzo & Baby Loud:JOVEN PARA SIEMPRE,2hSBhzE4hbWRWl4PLMiJsu
428,Kaydy Cain,Contigo Me Voy,Contigo Me Voy,spotify:track:4yuaPv20zZirxf1ufuygzP,Kaydy Cain:Contigo Me Voy,4yuaPv20zZirxf1ufuygzP
429,Auxili,Tresors,Com Camot,spotify:track:3WbWnTN9MaSSoQfpuAca1w,Auxili:Com Camot,3WbWnTN9MaSSoQfpuAca1w
430,Kase.O,El Círculo (Versión Exclusiva de Spotify),Guapo Tarde,spotify:track:4jKOUTB2lIoPLubbFWz9lX,Kase.O:Guapo Tarde,4jKOUTB2lIoPLubbFWz9lX
431,Delaossa,Un perro andaluz,Dicen de mí,spotify:track:0QTfaZdfwtiLU9RoHiamnh,Delaossa:Dicen de mí,0QTfaZdfwtiLU9RoHiamnh
432,Iratxo,La última Bala,Si Tú Supieras,spotify:track:1mwUXkWgoC5ujERM6ixphc,Iratxo:Si Tú Supieras,1mwUXkWgoC5ujERM6ixphc
433,Aspencat,Essència,Serem un cicló,spotify:track:0dJIvcRZkNUOofML0pJsVn,Aspencat:Serem un cicló,0dJIvcRZkNUOofML0pJsVn
434,Lágrimas De Sangre,Vértigo,Vértigo,spotify:track:34pQ8z3JA38dgKPUJbPRRC,Lágrimas De Sangre:Vértigo,34pQ8z3JA38dgKPUJbPRRC
435,Hard GZ,Mi Mundo,Mi Mundo,spotify:track:1ZsLtZZVdpRYvVAorip7z1,Hard GZ:Mi Mundo,1ZsLtZZVdpRYvVAorip7z1
436,Marea,Coces al Aire 1997-2007,Chica de la ciudad,spotify:track:4b7oBPj7RDuXgWo0FyzoYv,Marea:Chica de la ciudad,4b7oBPj7RDuXgWo0FyzoYv
437,Imanbek,Belly Dancer,Belly Dancer,spotify:track:7fZBQnc0zXwVybgCIrQQil,Imanbek:Belly Dancer,7fZBQnc0zXwVybgCIrQQil
438,Smoking Souls,Nit salvatge,Nit salvatge,spotify:track:3TwSlfvFPPoz0K1yL1Ujxn,Smoking Souls:Nit salvatge,3TwSlfvFPPoz0K1yL1Ujxn
439,Kodaline,Coming Up for Air,Honest,spotify:track:1DIg9155AY65dpR5Lf5Vg4,Kodaline:Honest,1DIg9155AY65dpR5Lf5Vg4
440,Platero Y Tu,Correos,Cigarrito,spotify:track:2Gt5oL4aEufZvJy9KjEkxi,Platero Y Tu:Cigarrito,2Gt5oL4aEufZvJy9KjEkxi
441,Robe,Mayéutica,Tercer movimiento: Un instante de luz,spotify:track:3jwMdFuOiSCznlA8qrFvt3,Robe:Tercer movimiento: Un instante de luz,3jwMdFuOiSCznlA8qrFvt3
442,Itaca Band,Rema,Imagina,spotify:track:5ZV61G6zjqcJErfahM9Zwc,Itaca Band:Imagina,5ZV61G6zjqcJErfahM9Zwc
443,The Beatles,Abbey Road,Here Comes The Sun - Remastered 2009,spotify:track:6dGnYIeXmHdcikdzNNDMm2,The Beatles:Here Comes The Sun - Remastered 2009,6dGnYIeXmHdcikdzNNDMm2
444,Txarango,Benvinguts al Llarg Viatge,Un Pam de Nas,spotify:track:1joLzKnwsmmL3Gl1TEXbif,Txarango:Un Pam de Nas,1joLzKnwsmmL3Gl1TEXbif
445,Macklemore & Ryan Lewis,The Heist (Deluxe Edition),Same Love (feat. Mary Lambert),spotify:track:5Ln2Xz1YeO34uWhsjdY7bk,Macklemore & Ryan Lewis:Same Love (feat. Mary Lambert),5Ln2Xz1YeO34uWhsjdY7bk
446,Aṣa,V,IDG,spotify:track:3k9Y1OBtIdPQNqbKILvJcD,Aṣa:IDG,3k9Y1OBtIdPQNqbKILvJcD
447,AG Club,Halfway Off the Porch,Hngover,spotify:track:5nMRM1LEUEpzlUkvjTZVpQ,AG Club:Hngover,5nMRM1LEUEpzlUkvjTZVpQ
448,Supersubmarina,Arena y Sal,Arena y Sal,spotify:track:79CImRK1xkUZnPUEM99b6z,Supersubmarina:Arena y Sal,79CImRK1xkUZnPUEM99b6z
449,La Raíz,El Lado de los Rebeldes,El Lado de los Rebeldes,spotify:track:7cZa0TrMoDemaWaKJGOkr0,La Raíz:El Lado de los Rebeldes,7cZa0TrMoDemaWaKJGOkr0
450,La Pegatina,Xapomelön,Mari Carmen,spotify:track:5ClKabzSX0QXnURNomxohE,La Pegatina:Mari Carmen,5ClKabzSX0QXnURNomxohE
451,Residente,Residente,Desencuentro (feat. Soko),spotify:track:0kc4G5tEdtmTB0w3gYmb01,Residente:Desencuentro (feat. Soko),0kc4G5tEdtmTB0w3gYmb01
452,FERNANDOCOSTA,Yipiyou,Por la calle abajo,spotify:track:7xOXRdYFrQdfUyJXU9uDTV,FERNANDOCOSTA:Por la calle abajo,7xOXRdYFrQdfUyJXU9uDTV
453,Sfera Ebbasta,Mademoiselle,Mademoiselle,spotify:track:2aPnpV1hT7l3eP10uSGK6c,Sfera Ebbasta:Mademoiselle,2aPnpV1hT7l3eP10uSGK6c
454,The Offspring,"Rise And Fall, Rage And Grace","You're Gonna Go Far, Kid",spotify:track:6TfBA04WJ3X1d1wXhaCFVT,"The Offspring:You're Gonna Go Far, Kid",6TfBA04WJ3X1d1wXhaCFVT
455,Ayax y Prok,Cara y cruz,Nietzsche y Salome,spotify:track:3Uss4su5RNs4wTUVz5joDe,Ayax y Prok:Nietzsche y Salome,3Uss4su5RNs4wTUVz5joDe
456,Hard GZ,Kaos Nomada,"Birra, Humo y Reflexiones",spotify:track:0ZrDom12tnntosy9CLL1RK,"Hard GZ:Birra, Humo y Reflexiones",0ZrDom12tnntosy9CLL1RK
457,FERNANDOCOSTA,Lento,Lento,spotify:track:03EKwyFCVEnEYPvF8tOUwY,FERNANDOCOSTA:Lento,03EKwyFCVEnEYPvF8tOUwY
458,Fyahbwoy,F.y.a.h.,Hierba Verde,spotify:track:6Jc8x7K3otNkrHhitUKBVu,Fyahbwoy:Hierba Verde,6Jc8x7K3otNkrHhitUKBVu
459,AMBKOR,Un año bajo la lluvia,Cállate,spotify:track:1deQQ1I4Q559MH6DHDzuXD,AMBKOR:Cállate,1deQQ1I4Q559MH6DHDzuXD
460,Vetusta Morla,Un Día en el Mundo,Valiente,spotify:track:0pyT9W877RcYtVdl1ZmlvQ,Vetusta Morla:Valiente,0pyT9W877RcYtVdl1ZmlvQ
461,Wiz Khalifa,Rolling Papers 2,All of a Sudden (feat. THEMXXNLIGHT),spotify:track:1BBc8WHLCPg8k2M6SeC9am,Wiz Khalifa:All of a Sudden (feat. THEMXXNLIGHT),1BBc8WHLCPg8k2M6SeC9am
462,Smoking Souls,ParatgesPreferits,Alcohol i sal (ParatgesPreferits) [Live],spotify:track:1q0t1MuhPC8yWA2d0c780D,Smoking Souls:Alcohol i sal (ParatgesPreferits) [Live],1q0t1MuhPC8yWA2d0c780D
463,Dominic Fike,"Don't Forget About Me, Demos",Babydoll,spotify:track:7yNf9YjeO5JXUE3JEBgnYc,Dominic Fike:Babydoll,7yNf9YjeO5JXUE3JEBgnYc
464,Hozier,Spotify Sessions,"Take Me To Church - Live From Spotify, London",spotify:track:61IautUH8F8UWJ0kxF9pJc,"Hozier:Take Me To Church - Live From Spotify, London",61IautUH8F8UWJ0kxF9pJc
465,Aspencat,Essència,En els teus ulls,spotify:track:7myFsxUrBYLoUnjeTNcd5d,Aspencat:En els teus ulls,7myFsxUrBYLoUnjeTNcd5d
466,A$AP Rocky,AT.LONG.LAST.A$AP,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",spotify:track:2N3U8uTYhjX2KwGT0pf5x0,"A$AP Rocky:Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",2N3U8uTYhjX2KwGT0pf5x0
467,Klanglos,Acid Trip,Acid Trip - Rework,spotify:track:4B4QdnnqI9omaHQkbqNkk2,Klanglos:Acid Trip - Rework,4B4QdnnqI9omaHQkbqNkk2
468,Fyahbwoy,Extremely Flammable,Luv Dem Ting,spotify:track:46o8qqBPmScXO3SCqH5vFK,Fyahbwoy:Luv Dem Ting,46o8qqBPmScXO3SCqH5vFK
469,Txarango,Benvinguts al Llarg Viatge,Per Art de Màgia,spotify:track:5kmz9ZpqbM6ohxKNSvC9kc,Txarango:Per Art de Màgia,5kmz9ZpqbM6ohxKNSvC9kc
470,The Kooks,Listen,Sunrise,spotify:track:0TfeysMSyoiE4Rzu3fZJ2u,The Kooks:Sunrise,0TfeysMSyoiE4Rzu3fZJ2u
471,Eminem,Curtain Call,"Lose Yourself - From ""8 Mile"" Soundtrack",spotify:track:7w9bgPAmPTtrkt2v16QWvQ,"Eminem:Lose Yourself - From ""8 Mile"" Soundtrack",7w9bgPAmPTtrkt2v16QWvQ
472,Txarango,Som Riu,Tant de bo,spotify:track:6yYixGuDpcet4EsDQf3SeH,Txarango:Tant de bo,6yYixGuDpcet4EsDQf3SeH
473,LoFi Waiter,Sex for Breakfast,Sex for Breakfast,spotify:track:1CV3kh7DgTvs9wE45qWn9h,LoFi Waiter:Sex for Breakfast,1CV3kh7DgTvs9wE45qWn9h
474,Magic Magno,Muero x vivir II,Cuidaré de ti,spotify:track:3PyVlJOcYYzJfHP5LVOlev,Magic Magno:Cuidaré de ti,3PyVlJOcYYzJfHP5LVOlev
475,Bebe,Pafuera Telarañas,Siempre me quedará,spotify:track:3iHJm7dUroZYvbqrhobLZs,Bebe:Siempre me quedará,3iHJm7dUroZYvbqrhobLZs
476,Ayax y Prok,Zinedine,Zinedine,spotify:track:6DYrsZsQMqzA0ZaHmBKUjW,Ayax y Prok:Zinedine,6DYrsZsQMqzA0ZaHmBKUjW
477,La Raíz,Así en el Cielo Como en la Selva,Donde Duerme el Chamán,spotify:track:7F7mUgGbEKqGEmw7oJGq23,La Raíz:Donde Duerme el Chamán,7F7mUgGbEKqGEmw7oJGq23
478,Vetusta Morla,Mapas,Maldita Dulzura,spotify:track:1RnDdNwGdqTMSTiZmSLYdU,Vetusta Morla:Maldita Dulzura,1RnDdNwGdqTMSTiZmSLYdU
479,Aṣa,Lucid,The Beginning,spotify:track:2Dwlatd3lIaPfh7BX3Erfu,Aṣa:The Beginning,2Dwlatd3lIaPfh7BX3Erfu
480,La Maravillosa Orquesta del Alcohol,Colectivo Nostalgia,Colectivo Nostalgia,spotify:track:6DyYRJBhtDViHEO1wavfeK,La Maravillosa Orquesta del Alcohol:Colectivo Nostalgia,6DyYRJBhtDViHEO1wavfeK
481,Hora Zulu,Me Duele la Boca de Decirlo,Agua de Mayo,spotify:track:3wTWViL987OXE55AkGg3x2,Hora Zulu:Agua de Mayo,3wTWViL987OXE55AkGg3x2
482,Iratxo,Hueso y Carne,Si Tú Supieras,spotify:track:7gJcw2AISLuYda00yodaoF,Iratxo:Si Tú Supieras,7gJcw2AISLuYda00yodaoF
483,Alborosie,Soul Pirate,Bad Mind,spotify:track:5oEHHE43201hXhfAkHHJww,Alborosie:Bad Mind,5oEHHE43201hXhfAkHHJww
484,Carnage,PSY or DIE,PSY or DIE,spotify:track:68sV2BrAllqHBHoYhKejaT,Carnage:PSY or DIE,68sV2BrAllqHBHoYhKejaT
485,Love of Lesbian,1999 (o como generar incendios de nieve con una lupa enfocando la luna),Club de fans de John Boy,spotify:track:1KhqSLS8YafrUCbjrn8WxZ,Love of Lesbian:Club de fans de John Boy,1KhqSLS8YafrUCbjrn8WxZ
486,AMBKOR,Un año bajo la lluvia,Soy tuyo,spotify:track:0qsU34cLwqp9mf4t2Bie51,AMBKOR:Soy tuyo,0qsU34cLwqp9mf4t2Bie51
487,La Otra,Pa'fuera y Pa'dentro,Contigo,spotify:track:4pesB5Dew0MP6mwvyfj4sX,La Otra:Contigo,4pesB5Dew0MP6mwvyfj4sX
488,J-AX,Il bello d'esser brutti Multiplatinum Edition,Caramelle (with Neffa),spotify:track:1t37O53JKQD1O0J38Wfnu6,J-AX:Caramelle (with Neffa),1t37O53JKQD1O0J38Wfnu6
489,Robe,Mayéutica,Coda feliz,spotify:track:0SWyhZ1o79I8veRxuikRpD,Robe:Coda feliz,0SWyhZ1o79I8veRxuikRpD
490,Rise Against,Appeal To Reason,Hero Of War,spotify:track:00hVU6kDP67JHurfwG2dtq,Rise Against:Hero Of War,00hVU6kDP67JHurfwG2dtq
491,Cheti,5 de la Tarde,5 de la Tarde,spotify:track:3mlvmh76YzIOkUhmJlQodB,Cheti:5 de la Tarde,3mlvmh76YzIOkUhmJlQodB
492,La iaia,Les Ratlles Del Banyador,Declaració De Principis,spotify:track:5Fyer3Bfi1oRz43IZ81atV,La iaia:Declaració De Principis,5Fyer3Bfi1oRz43IZ81atV
493,Wiz Khalifa,Rolling Papers 2,Hopeless Romantic (feat. Swae Lee),spotify:track:7IBSffWIu7P2MC7kMwy2FM,Wiz Khalifa:Hopeless Romantic (feat. Swae Lee),7IBSffWIu7P2MC7kMwy2FM
494,Rusted Root,When I Woke,Send Me On My Way,spotify:track:6XK6Zw6JkFsHXzAcMWNiIr,Rusted Root:Send Me On My Way,6XK6Zw6JkFsHXzAcMWNiIr
495,Kase.O,Kase.O Jazz Magnetism,Presente 2011,spotify:track:0vCZnKdr7vs8Oyg1U3nexH,Kase.O:Presente 2011,0vCZnKdr7vs8Oyg1U3nexH
496,Smino,blkswn,Innamission,spotify:track:7svLpna6i9NbCVBciVCUWG,Smino:Innamission,7svLpna6i9NbCVBciVCUWG
497,Eminem,The Eminem Show,Sing For The Moment,spotify:track:3CpoeW0cZSDzIRv5z34F87,Eminem:Sing For The Moment,3CpoeW0cZSDzIRv5z34F87
498,Damien Rice,9,9 Crimes,spotify:track:5GZEeowhvSieFDiR8fQ2im,Damien Rice:9 Crimes,5GZEeowhvSieFDiR8fQ2im
499,Aṣa,ASA (Asha) [Deluxe Edition],Eye Adaba,spotify:track:4vd1KAFvJKIe0nFSNslMgf,Aṣa:Eye Adaba,4vd1KAFvJKIe0nFSNslMgf
500,IZAL,Autoterapia,El Temblor,spotify:track:74f7j771COMsnHgwWwSumz,IZAL:El Temblor,74f7j771COMsnHgwWwSumz
501,India Martinez,Dual,Corazon Hambriento (feat. Abel Pintos),spotify:track:2O8pjEXQPQne5I2TtHPJJ5,India Martinez:Corazon Hambriento (feat. Abel Pintos),2O8pjEXQPQne5I2TtHPJJ5
502,Arreu,El Nostre Crit,Les Dents de la Fera,spotify:track:0nrYuUAHqyhacoDVR6qlDw,Arreu:Les Dents de la Fera,0nrYuUAHqyhacoDVR6qlDw
503,Pereza,Esencial Pereza,Yo Solo Quiero,spotify:track:1dgYVkVff0YeMm4cx2MvdI,Pereza:Yo Solo Quiero,1dgYVkVff0YeMm4cx2MvdI
504,Current Swell,Long Time Ago,Young and Able,spotify:track:5yQWk2KWtPa4p7p4rCMr2A,Current Swell:Young and Able,5yQWk2KWtPa4p7p4rCMr2A
505,Iratxo,A Versos y a Bocaos,Ciego,spotify:track:55EdPIrh2UXqw9gtNECw8e,Iratxo:Ciego,55EdPIrh2UXqw9gtNECw8e
506,Zaz,Recto verso,On ira,spotify:track:0O7j6n6xv3XtsqAqZw0nYM,Zaz:On ira,0O7j6n6xv3XtsqAqZw0nYM
507,Maroon 5,Overexposed Track By Track,One More Night,spotify:track:6cpk00i5TxCqSeqNi2HuIe,Maroon 5:One More Night,6cpk00i5TxCqSeqNi2HuIe
508,Marea,Coces al Aire 1997-2007,Señora,spotify:track:1LoW2tTaHIeimzjB5NZTG5,Marea:Señora,1LoW2tTaHIeimzjB5NZTG5
509,Día Sexto,"Recopilación, Vol. II",No sé cómo decirte,spotify:track:5Tu1wEzlhQEJ1LZBtm2lud,Día Sexto:No sé cómo decirte,5Tu1wEzlhQEJ1LZBtm2lud
510,Bob Marley & The Wailers,Exodus,Jamming,spotify:track:4zn0kScuV9Oj28d4g9CQQs,Bob Marley & The Wailers:Jamming,4zn0kScuV9Oj28d4g9CQQs
511,La Raíz,Entre Poetas y Presos,El Circo de la Pena,spotify:track:0Rpwha7aVsVsbxCqjoDj1v,La Raíz:El Circo de la Pena,0Rpwha7aVsVsbxCqjoDj1v
512,Ska-P,Game Over,"Cruz, Oro y Sangre",spotify:track:5pxJaPmEaS2emM6lVdDS17,"Ska-P:Cruz, Oro y Sangre",5pxJaPmEaS2emM6lVdDS17
513,Cruz Cafuné,Maracucho Bueno Muere Chiquito,Un Fleje - Wayne Chiquitito Skit,spotify:track:53uSDlON1m3xjFNtU7lHWS,Cruz Cafuné:Un Fleje - Wayne Chiquitito Skit,53uSDlON1m3xjFNtU7lHWS
514,Redd,Underdog,Underdog,spotify:track:0vz3h2E6WjDnuYvBhwixVQ,Redd:Underdog,0vz3h2E6WjDnuYvBhwixVQ
515,XXXTENTACION,?,love yourself (interlude),spotify:track:1Znlc3UZAbSodFaMBjdpsX,XXXTENTACION:love yourself (interlude),1Znlc3UZAbSodFaMBjdpsX
516,El Niño de la Hipoteca,Yonki,Yonki,spotify:track:1oxhplrhy5Krs1SnGIWMQn,El Niño de la Hipoteca:Yonki,1oxhplrhy5Krs1SnGIWMQn
517,Hozier,Hozier,Take Me To Church,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier:Take Me To Church,3dYD57lRAUcMHufyqn9GcI
518,alt-J,An Awesome Wave,Something Good,spotify:track:4VPZX5qq0mujdIrVhLFROu,alt-J:Something Good,4VPZX5qq0mujdIrVhLFROu
519,Ayax y Prok,Cara y cruz,El niño del recreo,spotify:track:00GdSnKOGRQFJqT3e9ABMJ,Ayax y Prok:El niño del recreo,00GdSnKOGRQFJqT3e9ABMJ
520,The Kid LAROI,F*CK LOVE (SAVAGE),WITHOUT YOU,spotify:track:27OeeYzk6klgBh83TSvGMA,The Kid LAROI:WITHOUT YOU,27OeeYzk6klgBh83TSvGMA
521,Baino Di Lion,No Hay Plata,No Hay Plata,spotify:track:3hNGN830sYLnrLAKT191EF,Baino Di Lion:No Hay Plata,3hNGN830sYLnrLAKT191EF
522,The Kooks,Listen,Bad Habit,spotify:track:3huV7eiNpaQlCB3LbZi9bB,The Kooks:Bad Habit,3huV7eiNpaQlCB3LbZi9bB
523,Imagine Dragons,Evolve,Believer,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons:Believer,0pqnGHJpmpxLKifKRmU6WP
524,Ayax y Prok,De Graná a Maracay,De Graná a Maracay,spotify:track:43MeLec3l43ynLlhH1slew,Ayax y Prok:De Graná a Maracay,43MeLec3l43ynLlhH1slew
525,Smoking Souls,Nòmades,Addictes,spotify:track:5CJ0PVqWFnqRaAylK6Z4Dl,Smoking Souls:Addictes,5CJ0PVqWFnqRaAylK6Z4Dl
526,Cigarettes After Sex,Cigarettes After Sex,Apocalypse,spotify:track:7McZS9J6h0SKoZBR6cfcFe,Cigarettes After Sex:Apocalypse,7McZS9J6h0SKoZBR6cfcFe
527,FERNANDOCOSTA,Yipiyou,Narcolepsia,spotify:track:6tnl0gz73FCRz2kzWwdUUq,FERNANDOCOSTA:Narcolepsia,6tnl0gz73FCRz2kzWwdUUq
528,XXXTENTACION,Look At Me!,Look At Me!,spotify:track:7floNISpH8VF4z4459Qo18,XXXTENTACION:Look At Me!,7floNISpH8VF4z4459Qo18
529,AYAX,Amores,Lutte,spotify:track:4eKyWOSMun3lO7qmftopQO,AYAX:Lutte,4eKyWOSMun3lO7qmftopQO
530,Madeleine Peyroux,Careless Love,Don't Wait Too Long,spotify:track:1AmODJ8Py2tZRv28K5SuzX,Madeleine Peyroux:Don't Wait Too Long,1AmODJ8Py2tZRv28K5SuzX
531,FERNANDOCOSTA,Yipiyou,Dale,spotify:track:0QVTR3bmGkgIbJnlbaR4EG,FERNANDOCOSTA:Dale,0QVTR3bmGkgIbJnlbaR4EG
532,Día Sexto,"Recopilación, Vol. II",Vals de los sueños,spotify:track:5mXrqHQCCS415sc7P1GcVi,Día Sexto:Vals de los sueños,5mXrqHQCCS415sc7P1GcVi
533,ZOO,Tempestes Vénen del Sud,Vull,spotify:track:61DmSdlgmsomp0FNxHVQCQ,ZOO:Vull,61DmSdlgmsomp0FNxHVQCQ
534,Aspencat,Tot és ara,Alçar el vol,spotify:track:7iVvlPd4cVzCwBg5qEwsK1,Aspencat:Alçar el vol,7iVvlPd4cVzCwBg5qEwsK1
535,Edoby,Guerrero,Guerrero,spotify:track:0JN2B8T3X0wKaILK5inMnq,Edoby:Guerrero,0JN2B8T3X0wKaILK5inMnq
536,ZOO,Raval,Xafant fang,spotify:track:45D9gIId6F1qYr9Vv2W1J8,ZOO:Xafant fang,45D9gIId6F1qYr9Vv2W1J8
537,Aspencat,Essència,Nit d'esperança,spotify:track:0cmxScYuvjjueXMdM0NuPZ,Aspencat:Nit d'esperança,0cmxScYuvjjueXMdM0NuPZ
538,Auxili,Tresors,Pàgines negres,spotify:track:2BFVZdHCNRzCHh3ZIrZw5I,Auxili:Pàgines negres,2BFVZdHCNRzCHh3ZIrZw5I
539,Travis Scott,Rodeo (Expanded Edition),Antidote,spotify:track:1wHZx0LgzFHyeIZkUydNXq,Travis Scott:Antidote,1wHZx0LgzFHyeIZkUydNXq
540,Arz,Alone With You,Alone With You,spotify:track:0W7brFokN6QtGRNp32RCQP,Arz:Alone With You,0W7brFokN6QtGRNp32RCQP
